Income Group,Country Code,Country Name,SKV_v0,z_in_group
High income,QAT,Qatar,0.7199360243552837,3.9686362564976725
High income,NCL,New Caledonia,0.4622634861716549,2.814180680634197
High income,GIB,Gibraltar,0.3130972086574519,2.1458679375651286
High income,BHR,Bahrain,0.2596837439135327,1.9065584921951275
High income,KWT,Kuwait,0.21319832411360506,1.698288909170581
High income,SAU,Saudi Arabia,0.16126167459118204,1.4655960694311
High income,ARE,United Arab Emirates,0.16078547510598445,1.4634625430771282
High income,ISL,Iceland,0.15531981315833607,1.4389746253668179
High income,LUX,Luxembourg,0.13164609060943966,1.33290875901306
High income,AUS,Australia,0.0780439554632002,1.0927540097566049
Low income,PRK,"Korea, Dem. People's Rep.",-0.1422348644355443,2.9352896288641452
Low income,GMB,"Gambia, The",-0.265489496539481,2.0756216684713573
Lower middle income,PSE,West Bank and Gaza,-0.27255629792189145,2.293450324272001
Lower middle income,MRT,Mauritania,-0.279898858768461,2.2292971851171606
Lower middle income,EGY,"Egypt, Arab Rep.",-0.3236964883698906,1.8466302266560144
Lower middle income,IND,India,-0.38273611391746803,1.330791489661011
Lower middle income,UZB,Uzbekistan,-0.39015819916426947,1.2659435329866582
Lower middle income,JOR,Jordan,-0.391730539058892,1.2522057455625946
Lower middle income,BTN,Bhutan,-0.40247237951582004,1.1583525518319142
Lower middle income,NPL,Nepal,-0.4100361235493516,1.0922668994751557
Lower middle income,VNM,Viet Nam,-0.41705165544699224,1.0309710650273098
Upper middle income,CHN,China,-0.25125408199034405,1.8997057617674584
Upper middle income,IRN,"Iran, Islamic Rep.",-0.2684952273020394,1.7047578515348933
Upper middle income,KAZ,Kazakhstan,-0.27345680881389733,1.6486565931962658
Upper middle income,CPV,Cabo Verde,-0.27757539427752953,1.602087202663685
Upper middle income,TUR,Turkiye,-0.2806250252535155,1.5676046218953599
Upper middle income,THA,Thailand,-0.29274516511256937,1.4305605975841564
Upper middle income,BIH,Bosnia and Herzegovina,-0.328580966850495,1.0253604479410718
Upper middle income,TKM,Turkmenistan,-0.32930271075582784,1.0171995941506748
